Category: All categories

Region,"Trump: (5/18/19, 6:49 PM - 5/25/19, 6:49 PM)"
District of Columbia,100
Vermont,72
Oregon,69
Maine,68
Washington,64
Massachusetts,64
Pennsylvania,63
Minnesota,62
Connecticut,60
New York,59
New Hampshire,59
Montana,57
Maryland,57
Colorado,57
Rhode Island,57
New Mexico,55
Wisconsin,55
Illinois,55
Delaware,54
New Jersey,54
Virginia,53
Florida,52
California,52
Michigan,52
Arizona,52
Alaska,52
Iowa,50
Ohio,49
Idaho,48
Hawaii,47
Nevada,47
South Dakota,47
Nebraska,46
Indiana,46
West Virginia,46
Missouri,45
North Dakota,45
North Carolina,44
Kentucky,43
Kansas,42
South Carolina,42
Utah,40
Tennessee,40
Texas,40
Arkansas,39
Georgia,38
Wyoming,38
Alabama,36
Louisiana,36
Oklahoma,35
Mississippi,32
