Category: All categories

Time,Brexit: (United Kingdom)
2019-05-15T21,43
2019-05-15T22,52
2019-05-15T23,60
2019-05-16T00,52
2019-05-16T01,48
2019-05-16T02,43
2019-05-16T03,49
2019-05-16T04,56
2019-05-16T05,68
2019-05-16T06,69
2019-05-16T07,62
2019-05-16T08,55
2019-05-16T09,46
2019-05-16T10,43
2019-05-16T11,45
2019-05-16T12,48
2019-05-16T13,51
2019-05-16T14,47
2019-05-16T15,46
2019-05-16T16,46
2019-05-16T17,50
2019-05-16T18,61
2019-05-16T19,50
2019-05-16T20,50
2019-05-16T21,46
2019-05-16T22,59
2019-05-16T23,71
2019-05-17T00,77
2019-05-17T01,50
2019-05-17T02,44
2019-05-17T03,47
2019-05-17T04,43
2019-05-17T05,66
2019-05-17T06,66
2019-05-17T07,65
2019-05-17T08,57
2019-05-17T09,48
2019-05-17T10,46
2019-05-17T11,50
2019-05-17T12,53
2019-05-17T13,50
2019-05-17T14,44
2019-05-17T15,44
2019-05-17T16,45
2019-05-17T17,48
2019-05-17T18,51
2019-05-17T19,45
2019-05-17T20,43
2019-05-17T21,44
2019-05-17T22,52
2019-05-17T23,54
2019-05-18T00,51
2019-05-18T01,43
2019-05-18T02,40
2019-05-18T03,44
2019-05-18T04,51
2019-05-18T05,59
2019-05-18T06,66
2019-05-18T07,68
2019-05-18T08,58
2019-05-18T09,51
2019-05-18T10,46
2019-05-18T11,42
2019-05-18T12,40
2019-05-18T13,41
2019-05-18T14,39
2019-05-18T15,38
2019-05-18T16,36
2019-05-18T17,36
2019-05-18T18,36
2019-05-18T19,37
2019-05-18T20,36
2019-05-18T21,37
2019-05-18T22,39
2019-05-18T23,44
2019-05-19T00,56
2019-05-19T01,42
2019-05-19T02,37
2019-05-19T03,40
2019-05-19T04,42
2019-05-19T05,53
2019-05-19T06,60
2019-05-19T07,59
2019-05-19T08,59
2019-05-19T09,51
2019-05-19T10,52
2019-05-19T11,48
2019-05-19T12,41
2019-05-19T13,41
2019-05-19T14,38
2019-05-19T15,37
2019-05-19T16,36
2019-05-19T17,43
2019-05-19T18,39
2019-05-19T19,39
2019-05-19T20,38
2019-05-19T21,39
2019-05-19T22,51
2019-05-19T23,50
2019-05-20T00,50
2019-05-20T01,46
2019-05-20T02,40
2019-05-20T03,42
2019-05-20T04,52
2019-05-20T05,64
2019-05-20T06,73
2019-05-20T07,72
2019-05-20T08,57
2019-05-20T09,49
2019-05-20T10,46
2019-05-20T11,45
2019-05-20T12,52
2019-05-20T13,54
2019-05-20T14,48
2019-05-20T15,47
2019-05-20T16,50
2019-05-20T17,52
2019-05-20T18,66
2019-05-20T19,58
2019-05-20T20,52
2019-05-20T21,53
2019-05-20T22,65
2019-05-20T23,67
2019-05-21T00,61
2019-05-21T01,55
2019-05-21T02,51
2019-05-21T03,50
2019-05-21T04,58
2019-05-21T05,80
2019-05-21T06,78
2019-05-21T07,74
2019-05-21T08,63
2019-05-21T09,51
2019-05-21T10,50
2019-05-21T11,46
2019-05-21T12,52
2019-05-21T13,57
2019-05-21T14,51
2019-05-21T15,51
2019-05-21T16,90
2019-05-21T17,94
2019-05-21T18,94
2019-05-21T19,88
2019-05-21T20,75
2019-05-21T21,69
2019-05-21T22,96
2019-05-21T23,83
2019-05-22T00,77
2019-05-22T01,72
2019-05-22T02,61
2019-05-22T03,66
2019-05-22T04,77
2019-05-22T05,100
2019-05-22T06,99
2019-05-22T07,92
2019-05-22T08,83
2019-05-22T09,69
2019-05-22T10,65
2019-05-22T11,68
2019-05-22T12,70
2019-05-22T13,82
2019-05-22T14,69
2019-05-22T15,70
2019-05-22T16,71
2019-05-22T17,79
2019-05-22T18,93
2019-05-22T19,89
2019-05-22T20,97
